DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-02-03,Harris,3.708176795580114,1.4751381215469612,273.49407475926404,181,22,26,0.4583333333333333,671.1800000000006,2014-02-03,Harris,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,73.75432452013878
2014-02-03,Law,3.1846170678337065,1.4201312910284465,213.02726316914618,457,62,39,0.6138613861386139,1455.3700000000038,2014-02-03,Law,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,66.89258351367663
2014-02-03,Stuart,4.639549839228303,1.5369774919614148,356.7391421501235,311,34,47,0.41975308641975306,1442.9000000000024,2014-02-03,Stuart,1,2014_Winter_W4,BL2,0,4,0,0,0,0,1,76.89089556357905
2014-02-04,GCIS,4.409069767441865,1.5813953488372092,303.97857694885914,215,30,32,0.4838709677419355,947.9500000000011,2014-02-04,GCIS,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,68.94392535893734
2014-02-04,Harris,3.466229508196729,1.3729508196721312,233.80511331086097,244,21,22,0.4883720930232558,845.7600000000018,2014-02-04,Harris,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,67.45228864908479
2014-02-04,Law,3.1500656455142324,1.3610503282275712,221.05484560164143,457,64,30,0.6808510638297872,1439.5800000000042,2014-02-04,Law,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,70.17467903134931
2014-02-04,Stuart,4.500951156812347,1.6066838046272494,309.07369200204073,389,44,53,0.4536082474226804,1750.8700000000028,2014-02-04,Stuart,2,2014_Winter_W4,BL2,0,4,1,0,0,0,0,68.66852832522896
2014-02-05,GCIS,4.432657657657661,1.5945945945945945,331.2981883607996,222,27,35,0.43548387096774194,984.0500000000006,2014-02-05,GCIS,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,74.740305691883
2014-02-05,Harris,3.8985454545454585,1.4954545454545454,267.5096158263948,220,22,22,0.5,857.6800000000009,2014-02-05,Harris,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,68.61780090687296
2014-02-05,Law,3.7272395833333434,1.4713541666666667,262.7408812031145,384,74,43,0.6324786324786325,1431.2600000000039,2014-02-05,Law,3,2014_Winter_W4,BL2,0,4,0,1,0,0,0,70.4920827676283
