DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
10/24/14,Harris,4.40,1.56,294.27,70,4,2,66.67%,307.97,5,2014_Fall_W3,BL1,0,3,0,0,0,1,0,66.89
10/24/14,Law,3.51,1.37,229.98,189,0,3,0.00%,663.14,5,2014_Fall_W3,BL1,0,3,0,0,0,1,0,65.55
10/24/14,Stuart,4.48,1.43,342.74,92,0,8,0.00%,412.35,5,2014_Fall_W3,BL1,0,3,0,0,0,1,0,76.47
10/27/14,GCIS,4.59,1.56,323.85,222,8,28,22.22%,1018.54,1,2014_Fall_W4,BL1,0,4,0,0,0,0,1,70.59
10/27/14,Harris,4.22,1.47,292.61,182,0,9,0.00%,767.57,1,2014_Fall_W4,BL1,0,4,0,0,0,0,1,69.38
10/27/14,Law,3.78,1.43,248.70,118,3,2,60.00%,445.8,1,2014_Fall_W4,BL1,0,4,0,0,0,0,1,65.83
10/27/14,Stuart,4.61,1.47,311.03,148,3,10,23.08%,682.52,1,2014_Fall_W4,BL1,0,4,0,0,0,0,1,67.44
10/28/14,GCIS,4.57,1.51,320.87,206,6,33,15.38%,942.11,2,2014_Fall_W4,BL1,0,4,1,0,0,0,0,70.16
10/28/14,Harris,3.65,1.38,243.98,180,1,6,14.29%,656.23,2,2014_Fall_W4,BL1,0,4,1,0,0,0,0,66.92
10/28/14,Law,3.56,1.38,238.28,138,3,4,42.86%,491.06,2,2014_Fall_W4,BL1,0,4,1,0,0,0,0,66.96
10/28/14,Stuart,4.20,1.51,298.73,215,7,20,25.93%,901.95,2,2014_Fall_W4,BL1,0,4,1,0,0,0,0,71.21
10/29/14,GCIS,4.73,1.57,349.81,229,5,28,15.15%,1082.17,3,2014_Fall_W4,BL1,0,4,0,1,0,0,0,74.02
10/29/14,Harris,4.34,1.50,315.74,151,1,8,11.11%,654.59,3,2014_Fall_W4,BL1,0,4,0,1,0,0,0,72.83
